n,speaker_std_1,speaker_std_2,speaker_std_3,speaker_std_4,speaker_std_5,speaker_std_6,speaker_std_7,speaker_std_8,speaker_std_9,speaker_std_10,speaker_std_11,speaker_std_12,speaker_std_13,speaker_std_14,speaker_std_15,speaker_std_16,speaker_std_17,speaker_std_18,speaker_std_19,speaker_std_20,speaker_std_21,speaker_std_22
63,MONTESINOS,ROMERO SEMINARIO,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,DESCONOCIDO,MONTESINOS,JOY WAY,GROSS,BUSTAMANTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,MONTESINOS,EMBAJADORA,VILLANUEVA RUESTA,BERGAMINO,LOCUTOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,MONTESINOS,CROUSILLAT LOPEZ TORRES,DESCONOCIDO,BERTINI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,DESCONOCIDO,MONTESINOS,REPRESENTANTE ESTADOS UNIDOS,ROZAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,MONTESINOS,BERGAMINO,SAUCEDO SANCHEZ,VILLANUEVA RUESTA,BELLO VASQUEZ,DESCONOCIDO,IBARCENA,DIANDERAS,HUMBERTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,MONTESINOS,REPRESENTANTE ESTADOS UNIDOS,DESCONOCIDO,HEATHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,MONTESINOS,SCHUTZ,MANUEL DELGADO PARKER,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NORIEGA,MONTESINOS,VILLANUEVA RUESTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,CALMELL,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,MONTESINOS,CALMELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,MONTESINOS,SILVA,CALMELL,DESCONOCIDO,GENERAL DELGADO,VEGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,PALERMO,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,BERTINI,MONTESINOS,WINTER ZUZUNAGA,CROUSILLAT LOPEZ TORRES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,MONTESINOS,BELLO VASQUEZ,IBARCENA,VILLANUEVA RUESTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,MONTESINOS,BOLONA,WINTER ZUZUNAGA,BELLO VASQUEZ,IBARCENA,VILLANUEVA RUESTA,DESCONOCIDO,HENRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,CHIRINOS,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,MONTESINOS,VIDAL,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,VIDAL,MONTESINOS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,ALEX KOURI,CROUSILLAT CARRENO,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,ALEX KOURI,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,MONTESINOS,MOROTE,PANTOJA,BRAVO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,CAMPOS,MONTESINOS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,ALEX KOURI,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,MONTESINOS,ALBERTO KOURI,CROUSILLAT CARRENO,DOUFOUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,MONTESINOS,TUDELA,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,DESCONOCIDO,MONTESINOS,BOLONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,DESCONOCIDO,MONTESINOS,BOLONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,DESCONOCIDO,DEL MAR COLINA,GRANDA,AYBAR,LOPEZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
